wavelength_micron,FLAM_reference_W_m2_micron,FLAM_uncertainty_W_m2_micron,normalized_flux,normalized_uncertainty,n_primary_sources,interpolated_from_native_grid
0.63,,,,,0,False
0.635,2.1194229642857145,0.01371760714285713,0.9925600792226548,0.006424177458626445,1,True
0.64,2.1142897292724196,0.012106531302876478,0.9901561021792232,0.005669684565838607,1,True
0.645,2.1057558783783783,0.011374594594594598,0.986159561676361,0.005326906758199313,1,True
0.65,2.09568202020202,0.011195151515151495,0.981441810836583,0.005242870659624705,1,True
0.655,2.1076536912751673,0.010549664429530191,0.9870483381739874,0.004940578609553706,1,True
0.66,2.0904912280701753,0.009607017543859649,0.9790108788629132,0.004499121815281654,1,True
0.665,2.1137094000000003,0.009165666666666666,0.9898843245877211,0.004292430055772813,1,True
0.67,2.1037189610389606,0.009346038961038963,0.9852056403167028,0.004376901320739066,1,True
0.675,2.097216456953642,0.008338576158940392,0.9821604124038097,0.0039050901836912787,1,True
0.68,2.0981080065897855,0.008068023064250408,0.9825779395290665,0.0037783857902669448,1,True
0.685,2.083042108731466,0.007837380560131793,0.9755223357049124,0.0036703721724012746,1,True
0.6900000000000001,2.105317803278689,0.007628918032786883,0.9859544040164789,0.0035727457966645408,1,True
0.6950000000000001,2.1040701960784314,0.007428725490196078,0.9853701293707885,0.0034789923886463913,1,True
0.7000000000000001,2.0928279411764708,0.007862712418300664,0.9801051994327041,0.0036822354916040204,1,True
0.7050000000000001,2.094632969283276,0.0075582593856655085,0.9809505233113636,0.0035396552085344866,1,True
0.7100000000000001,2.0912320388349515,0.007274498381877021,0.9793578125348444,0.0034067653374956863,1,True
0.7150000000000001,2.1032126213592233,0.00727368932038835,0.9849685132490515,0.0034063864409050464,1,True
0.7200000000000001,2.0992926948775055,0.007410445434298443,0.9831327482296082,0.0034704315425879615,1,True
0.7250000000000001,2.104353763066202,0.0074362717770034845,0.9855029283809857,0.003482526436902739,1,True
0.7300000000000001,2.110364216027875,0.007453693379790941,0.9883177207883204,0.0034906852554747224,1,True
0.7350000000000001,2.1092615384615376,0.007999230769230748,0.9878013190360304,0.003746169245034958,1,True
0.7400000000000001,2.087419426751593,0.00753254777070064,0.9775723045851469,0.0035276140430774193,1,True
0.7450000000000001,2.1071834713375797,0.0076365923566879,0.9868281265662202,0.0035763398067642383,1,True
0.7500000000000001,2.1094517973856206,0.008724019607843189,0.9878904203697154,0.004085599589612408,1,True
0.7550000000000001,2.090022878787879,0.00803912121212123,0.9787915433132974,0.003764850585108551,1,True
0.7600000000000001,2.0948355149501654,0.008317375415282375,0.9810453787255784,0.0038951615322803165,1,True
0.7650000000000001,2.142881230283913,0.00829829652996846,1.0035459648858522,0.0038862265814763645,1,True
0.7700000000000001,2.134858044164037,0.008658233438485811,0.9997885769623679,0.004054790861685314,1,True
0.7750000000000001,2.0965899999999995,0.008716981132075472,0.9818670324725667,0.0040823033574853935,1,True
0.7800000000000001,2.0902644827586205,0.008942068965517249,0.9789046903634052,0.004187715633165024,1,True
0.7850000000000001,2.1087997115384622,0.009678557692307743,0.987585038012809,0.004532625224751019,1,True
0.7900000000000001,2.0957319314641745,0.009511090342679145,0.9814651850885151,0.004454197554288088,1,True
0.7950000000000002,2.1060356250000005,0.00990125,0.9862905715472544,0.004636915636948093,1,True
0.8000000000000002,2.1078975683890593,0.010345714285714337,0.9871625497738257,0.004845065456061212,1,True
0.8050000000000002,2.112986624203821,0.010733566878980872,0.9895458369834982,0.005026703103282368,1,True
0.8100000000000002,2.0946229813664603,0.010966211180124237,0.980945845808254,0.0051356541950958795,1,True
0.8150000000000002,2.095642786377708,0.011241362229102173,0.9814234370016177,0.005264511884935896,1,True
0.8200000000000002,2.1029285448916397,0.011737523219814253,0.9848354756412114,0.005496872107763974,1,True
0.8250000000000002,2.0928253703703703,0.011989660493827166,0.9801039954825961,0.005614952074286175,1,True
0.8300000000000002,2.126782944983819,0.013316763754045412,0.9960068773124593,0.006236456011582049,1,True
0.8350000000000002,2.1300601759530773,0.0140676539589442,0.9975416576207278,0.006588110048468942,1,True
0.8400000000000002,2.1115623387096782,0.012637580645161295,0.9888788210330608,0.005918383568412168,1,True
0.8450000000000002,2.094151854838708,0.012952365591397865,0.9807252096296385,0.006065802453853928,1,True
0.8500000000000002,2.1172331079523627,0.013526715328467113,0.9915345340566617,0.006334779732166607,1,True
0.8550000000000002,2.1186756742220516,0.01224934306569339,0.9922101111901805,0.005736565625921512,1,True
0.8600000000000002,2.1201182404917405,0.010971970802919666,0.9928856883236995,0.0051383515196764176,1,True
0.8650000000000002,2.121560806761429,0.00969459854014594,0.9935612654572182,0.004540137413431321,1,True
0.8700000000000002,2.1230033730311177,0.008417226277372219,0.9942368425907371,0.003941923307186227,1,True
0.8750000000000002,2.1244459393008066,0.007139854014598494,0.994912419724256,0.003343709200941131,1,True
0.8800000000000002,2.1016733632287004,0.0069062331838564955,0.9842476537520465,0.003234300784510441,1,True
0.8850000000000002,2.116333004484306,0.006753721973094165,0.9911130010334672,0.0031628773159591227,1,True
0.8900000000000002,2.133642147651007,0.00665731543624161,0.9992191529447764,0.0031177285743117927,1,True
0.8950000000000002,2.131961026785713,0.006580491071428563,0.9984318568328834,0.003081750480788225,1,True
0.9000000000000002,2.1210832366071433,0.006485066964285716,0.9933376116240005,0.0030370618268755903,1,True
0.9050000000000002,2.1256468151447665,0.00636427616926502,0.9954748093193971,0.00298049354244374,1,True
0.9100000000000003,2.1259374164810687,0.006309220489977731,0.99561090262887,0.002954710076700523,1,True
0.9150000000000003,2.1250063919821827,0.006041447661469911,0.9951748887864494,0.0028293077269307735,1,True
0.9200000000000003,2.1317470731707324,0.006304634146341485,0.9983316588919279,0.0029525622177409643,1,True
0.9250000000000003,2.13790685840708,0.006094867256637164,1.0012163860205896,0.002854324987998868,1,True
0.9300000000000003,2.1481756858407075,0.006011482300884953,1.0060254441193255,0.002815274463548556,1,True
0.9350000000000003,2.1389113053097337,0.005975530973451328,1.001686784763112,0.0027984378750020578,1,True
0.9400000000000003,2.1321324061810154,0.005955629139072842,0.9985121165776557,0.0027891175238308873,1,True
0.9450000000000003,2.140565518763798,0.005827152317880785,1.002461479698802,0.002728949748936724,1,True
0.9500000000000003,2.1398638105726864,0.005738237885462553,1.002132858395033,0.002687309681063429,1,True
0.9550000000000003,2.13111936123348,0.00569552863436123,0.9980376912315471,0.0026673082474793796,1,True
0.9600000000000003,2.1404302637362647,0.005711560439560442,1.0023981375801658,0.0026748162013454807,1,True
0.9650000000000003,2.1242923684210515,0.005702280701754385,0.9948404999955636,0.002670470349928772,1,True
0.9700000000000003,2.1244987692307693,0.005463692307692292,0.9949371608355645,0.002558735543190143,1,True
0.9750000000000003,2.114544857768052,0.005481816192560187,0.9902755829832458,0.002567223251827556,1,True
0.9800000000000003,2.1136189263157896,0.0055800842105263,0.9898419542969953,0.002613243755210358,1,True
0.9850000000000003,2.1114955118110235,0.005492598425196889,0.9888475249147585,0.0025722727458928852,1,True
0.9900000000000003,2.110859542619543,0.005798274428274388,0.9885496902485706,0.0027154257658156067,1,True
0.9950000000000003,2.114717233115467,0.005262483660130717,0.9903563091485131,0.0024645062767674744,1,True
1.0000000000000004,2.10518503267974,0.005233202614379083,0.985892225395962,0.0024507934890980448,1,True
1.0050000000000003,2.114816630434783,0.005215717391304347,0.9904028585219968,0.0024426048761157677,1,True
1.0100000000000002,2.108964282608695,0.005194543478260868,0.9876621093087514,0.002432688789915875,1,True
1.0150000000000003,2.109744360086769,0.005131930585683291,0.9880274322180924,0.0024033661588675204,1,True
1.0200000000000005,2.0995394143167005,0.00502459869848155,0.9832482909363919,0.002353100898813598,1,True
1.0250000000000004,2.1023112147505434,0.005043904555314539,0.9845463699440107,0.002362142144053701,1,True
1.0300000000000002,2.1072026406926407,0.005094112554112557,0.9868371038854711,0.0023856553625590813,1,True
1.0350000000000004,2.10467,0.0050532467532467505,0.9856510272557044,0.002366517246558469,1,True
1.0400000000000005,2.09473211663067,0.005009546436285094,0.9809969556189503,0.002346051680790602,1,True
1.0450000000000004,2.0995826724137934,0.004966724137931021,0.9832685494034374,0.0023259973053483037,1,True
1.0500000000000003,2.1024262068965522,0.004774482758620663,0.9846002226272531,0.00223596755579217,1,True
1.0550000000000004,2.1108475000000007,0.004580000000000029,0.9885440504949167,0.002144888132025997,1,True
1.0600000000000005,2.1088147741935463,0.004933462365591396,0.9875920920979894,0.00231042027898555,1,True
1.0650000000000004,2.0976711827957,0.004911956989247309,0.9823733678758524,0.002300348963156907,1,True
1.0700000000000003,2.0999172903225802,0.004885677419354837,0.9834252563862584,0.0022880418152143064,1,True
1.0750000000000004,2.0981249785407727,0.004820364806866947,0.9825858877684224,0.0022574548616342,1,True
1.0800000000000005,2.1226716952789735,0.004898648068669548,0.9940815125308613,0.0022941161802317285,1,True
1.0850000000000004,2.126303790149892,0.004949122055674515,0.9957824813481156,0.002317753965319717,1,True
1.0900000000000003,2.112503875802997,0.004939999999999999,0.9893197580936114,0.0023134819589974574,1,True
1.0950000000000004,2.109982542735043,0.004873162393162384,0.9881389770075112,0.0022821808258797678,1,True
1.1000000000000005,2.11504826923077,0.004778653846153834,0.9905113387194706,0.0022379209435973097,1,True
1.1050000000000004,2.1397202777777804,0.004808888888888893,1.0020656396639522,0.002252080503495503,1,True
1.1100000000000003,2.1289447547974425,0.004766076759061846,0.9970192878393016,0.002232030890138999,1,True
1.1150000000000004,2.1416782302771855,0.004898272921108733,1.0029825805109054,0.0022939404925568486,1,True
1.1200000000000006,2.138711851063827,0.004791382978723398,1.0015933771113812,0.002243882202413782,1,True
1.1250000000000004,2.1242212572533856,0.004664119922630529,0.994807197484738,0.002184282853361609,1,True
1.1300000000000003,2.136290000000001,0.004353333333333334,1.0004591850580329,0.002038736463192092,1,True
1.1350000000000005,2.1497261061946884,0.004362566371681405,1.006751531066248,0.002043060444496747,1,True
1.1400000000000006,2.1303278761061923,0.004238672566371667,0.9976670259354348,0.0019850389701211147,1,True
1.1450000000000005,2.1326177031802125,0.004361448763250897,0.9987393890174124,0.002042537050379094,1,True
1.1500000000000004,2.13919761484099,0.004326554770318015,1.0018208681508143,0.0020261956286933436,1,True
1.1550000000000005,2.130694540636041,0.004323533568904597,0.9978387408696067,0.0020247807511701776,1,True
1.1600000000000006,2.124919470899471,0.004358835978835983,0.9951341822365082,0.0020413134411469782,1,True
1.1650000000000005,2.1320394003527348,0.004355308641975303,0.9984685604428766,0.002039661532201535,1,True
1.1700000000000004,2.1363585035211257,0.004326390845070426,1.0004912663657757,0.002026118859846599,1,True
1.1750000000000005,2.1219575352112687,0.004376566901408448,0.9937470598117375,0.0020496171191809417,1,True
1.1800000000000006,2.1342462676056355,0.004350158450704221,0.9995020720978337,0.0020372496142681273,1,True
1.1850000000000005,2.1206066432337423,0.004411142355008793,0.9931144152330813,0.002065809363741377,1,True
1.1900000000000004,2.1147160984182776,0.0043598242530755674,0.990355777751453,0.002041776265969614,1,True
1.1950000000000005,2.114918998242531,0.004415711775043947,0.990450799023294,0.0020679492971046177,1,True
1.2000000000000006,2.123787894736844,0.00444473684210526,0.994604246803822,0.0020815422058100917,1,True
1.2050000000000005,2.1260987719298234,0.004418421052631577,0.9956864679972263,0.002069218095651358,1,True
1.2100000000000004,2.118498756567426,0.004405253940455343,0.9921272577889245,0.002063051723895931,1,True
1.2150000000000005,2.120761366024518,0.004407548161120833,0.9931868744203497,0.0020641261445679083,1,True
